login_hour,login_day,is_weekend,Round-Trip Time [ms],new_device,new_browser,new_os,new_country,new_city,new_ip,new_device_browser,Login Successful,Is Attack IP,Is Account Takeover
9,0,0,,1,1,1,1,1,1,1,True,False,False
15,3,0,,1,1,1,1,1,1,1,True,False,False
18,3,0,,1,1,1,1,1,1,1,True,False,False
8,4,0,,1,1,1,1,1,1,1,True,False,False
12,3,0,,1,1,1,1,1,1,1,True,False,False
21,5,1,,1,1,1,1,1,1,1,True,False,False
6,3,0,,1,1,1,1,1,1,1,True,False,False
20,4,0,,1,1,1,1,1,1,1,True,False,False
14,0,0,,1,1,1,1,1,1,1,True,False,False
12,0,0,,1,1,1,1,1,1,1,True,False,False
12,1,0,,1,1,1,1,1,1,1,True,False,False
4,1,0,,1,1,1,1,1,1,1,True,False,False
6,2,0,,1,1,1,1,1,1,1,True,False,False
8,0,0,,1,1,1,1,1,1,1,True,False,False
14,1,0,,1,1,1,1,1,1,1,True,False,False
21,6,1,,1,1,1,1,1,1,1,True,False,False
18,3,0,,1,1,1,1,1,1,1,True,False,False
6,1,0,,1,1,1,1,1,1,1,True,True,False
14,6,1,,1,1,1,1,1,1,1,True,False,False
9,6,1,,1,1,1,1,1,1,1,True,False,False
3,2,0,,1,1,1,1,1,1,1,True,False,False
7,4,0,,1,1,1,1,1,1,1,True,False,False
9,3,0,,1,1,1,1,1,1,1,True,False,False
18,6,1,,1,1,1,1,1,1,1,True,False,False
11,2,0,,1,1,1,1,1,1,1,True,False,False
13,4,0,,1,1,1,1,1,1,1,True,False,False
19,0,0,,0,1,0,0,0,0,1,True,False,False
18,0,0,468.0,1,1,1,1,1,1,1,True,False,False
19,3,0,,1,1,1,1,1,1,1,True,False,False
8,5,1,,1,1,1,1,1,1,1,True,False,False
20,5,1,,1,1,1,0,1,1,1,True,False,False
14,5,1,447.0,1,1,1,1,1,1,1,True,False,False
1,4,0,,1,1,1,1,1,1,1,False,False,False
12,4,0,,1,1,1,1,1,1,1,True,False,False
18,2,0,,1,1,1,1,1,1,1,True,False,False
13,2,0,,1,1,1,1,1,1,1,True,False,False
7,6,1,,1,1,1,1,1,1,1,False,False,False
13,1,0,,1,1,1,1,1,1,1,True,False,False
10,0,0,,1,1,1,1,1,1,1,True,False,False
15,0,0,,1,1,1,1,1,1,1,False,False,False
1,3,0,,1,1,1,1,1,1,1,True,False,False
2,3,0,,1,1,1,1,1,1,1,False,True,False
12,5,1,,1,1,1,1,1,1,1,True,False,False
19,5,1,,1,1,1,1,1,1,1,False,False,False
22,4,0,,1,1,1,1,1,1,1,True,False,False
14,3,0,,1,1,1,1,1,1,1,True,False,False
13,2,0,,1,1,1,1,1,1,1,True,False,False
8,1,0,,1,1,1,1,1,1,1,True,False,False
16,5,1,,1,1,1,1,1,1,1,True,False,False
5,3,0,538.0,1,1,1,1,1,1,1,True,False,False
19,0,0,,1,1,1,1,1,1,1,True,False,False
6,0,0,,1,1,1,1,1,1,1,True,False,False
7,0,0,,1,1,1,1,1,1,1,False,False,False
9,4,0,,1,1,1,1,1,1,1,True,True,False
8,4,0,,1,1,1,1,1,1,1,True,False,False
10,1,0,,1,1,1,1,1,1,1,True,False,False
15,1,0,,1,1,1,1,1,1,1,True,False,False
14,6,1,462.0,1,1,1,1,1,1,1,True,False,False
18,2,0,,1,1,1,1,1,1,1,True,False,False
11,2,0,,1,1,1,1,1,1,1,True,False,False
15,1,0,,1,1,1,1,1,1,1,False,False,False
3,4,0,,1,1,1,1,1,1,1,False,False,False
16,4,0,,1,1,1,1,1,1,1,False,False,False
18,4,0,,1,1,1,1,1,1,1,True,False,False
2,3,0,,1,1,1,1,1,1,1,False,False,False
13,5,1,,1,1,1,1,1,1,1,True,False,False
7,1,0,,1,1,1,1,1,1,1,True,False,False
16,3,0,,1,1,1,1,1,1,1,True,False,False
16,3,0,,1,1,1,1,1,1,1,True,False,False
10,2,0,,1,1,1,1,1,1,1,True,False,False
11,4,0,,1,1,1,1,1,1,1,True,False,False
4,0,0,,1,1,1,1,1,1,1,True,False,False
12,1,0,,1,1,1,1,1,1,1,True,False,False
9,6,1,,1,1,1,1,1,1,1,True,False,False
16,1,0,,1,1,1,1,1,1,1,True,False,False
17,4,0,,1,1,1,1,1,1,1,True,False,False
16,6,1,,1,1,1,1,1,1,1,False,False,False
2,0,0,,1,1,1,1,1,1,1,False,False,False
8,3,0,,1,1,1,1,1,1,1,True,False,False
12,4,0,,1,1,1,1,1,1,1,True,True,False
4,4,0,,1,1,1,1,1,1,1,True,False,False
15,1,0,,1,1,1,1,1,1,1,True,False,False
5,0,0,,1,1,1,1,1,1,1,True,False,False
8,1,0,,1,1,1,1,1,1,1,True,False,False
22,0,0,,1,1,1,1,1,1,1,True,False,False
12,2,0,,0,1,0,0,1,1,1,True,False,False
4,2,0,,1,1,1,1,1,1,1,True,False,False
15,3,0,,1,1,1,1,1,1,1,True,False,False
16,3,0,,1,1,1,1,1,1,1,False,True,False
12,4,0,,1,1,1,1,1,1,1,False,False,False
13,5,1,,1,1,1,1,1,1,1,True,False,False
19,0,0,18.0,1,1,1,1,1,1,1,True,False,False
16,4,0,,1,1,1,1,1,1,1,True,False,False
8,0,0,,1,1,1,1,1,1,1,True,False,False
7,3,0,,1,1,1,1,1,1,1,True,False,False
11,3,0,,1,1,1,1,1,1,1,True,False,False
0,4,0,,1,1,1,1,1,1,1,False,False,False
10,5,1,,1,1,1,1,1,1,1,True,False,False
6,1,0,,1,1,1,1,1,1,1,False,False,False
8,1,0,,1,1,1,1,1,1,1,True,False,False
19,2,0,,1,1,1,1,1,1,1,True,False,False
12,2,0,,1,1,1,1,1,1,1,True,False,False
15,0,0,,1,1,1,1,1,1,1,False,False,False
15,1,0,477.0,1,1,1,1,1,1,1,True,False,False
12,6,1,,1,1,1,1,1,1,1,True,False,False
12,1,0,,1,1,1,1,1,1,1,True,False,False
13,2,0,,1,1,1,1,1,1,1,True,False,False
9,3,0,,1,1,1,1,1,1,1,True,False,False
18,4,0,,1,1,1,1,1,1,1,True,False,False
10,0,0,,1,1,1,1,1,1,1,False,False,False
15,1,0,,1,1,1,1,1,1,1,True,False,False
7,4,0,,1,1,1,1,1,1,1,False,False,False
9,4,0,,1,1,1,1,1,1,1,True,False,False
1,3,0,,1,1,1,1,1,1,1,True,False,False
16,0,0,,1,1,1,1,1,1,1,True,False,False
16,0,0,,1,1,1,1,1,1,1,True,False,False
19,6,1,,1,1,1,1,1,1,1,True,False,False
9,0,0,,1,1,1,1,1,1,1,True,False,False
15,4,0,,1,1,1,1,1,1,1,True,False,False
21,3,0,,1,1,1,1,1,1,1,False,False,False
19,2,0,,1,1,1,1,1,1,1,True,False,False
19,5,1,,1,1,1,1,1,1,1,True,False,False
16,5,1,,1,1,1,1,1,1,1,True,False,False
8,1,0,,1,1,1,1,1,1,1,True,False,False
21,6,1,548.0,1,1,1,1,1,1,1,True,False,False
12,3,0,,1,1,1,1,1,1,1,False,False,False
13,0,0,,1,1,1,0,1,1,1,True,False,False
6,2,0,,0,1,1,0,1,1,1,True,False,False
15,6,1,,1,1,1,1,1,1,1,True,False,False
4,1,0,,1,1,1,1,1,1,1,True,False,False
14,4,0,,1,1,1,1,1,1,1,True,False,False
15,5,1,,1,1,1,1,1,1,1,True,False,False
6,2,0,,1,1,1,1,1,1,1,True,False,False
13,0,0,,1,1,1,1,1,1,1,True,False,False
2,1,0,,1,1,1,1,1,1,1,False,False,False
14,6,1,,1,1,1,1,1,1,1,True,True,False
12,0,0,,1,1,1,1,1,1,1,True,False,False
19,4,0,,1,1,1,1,1,1,1,True,False,False
9,2,0,,1,1,1,1,1,1,1,True,False,False
13,5,1,,1,1,1,1,1,1,1,False,False,False
20,4,0,,1,1,1,1,1,1,1,True,False,False
2,5,1,,1,1,1,1,1,1,1,True,True,False
6,2,0,,1,1,1,1,1,1,1,False,False,False
5,3,0,,1,1,1,1,1,1,1,False,True,False
10,2,0,,1,1,1,1,1,1,1,True,False,False
3,0,0,,1,1,1,1,1,1,1,True,False,False
19,0,0,,1,1,1,1,1,1,1,True,False,False
9,2,0,,1,1,1,1,1,1,1,True,False,False
18,2,0,,1,1,1,1,1,1,1,True,False,False
6,1,0,,1,1,1,1,1,1,1,True,False,False
21,3,0,,1,1,1,1,1,1,1,True,False,False
21,4,0,,1,1,1,1,1,1,1,True,False,False
16,5,1,,1,1,1,1,1,1,1,True,False,False
13,1,0,650.0,1,1,1,1,1,1,1,False,False,False
16,4,0,,1,1,1,1,1,1,1,False,False,False
10,3,0,,1,1,1,1,1,1,1,True,False,False
6,4,0,,0,0,0,0,0,0,0,True,False,False
20,2,0,,1,1,1,1,1,1,1,True,False,False
14,2,0,,1,1,1,1,1,1,1,True,False,False
13,1,0,,1,1,1,1,1,1,1,True,False,False
12,0,0,,1,1,1,0,1,1,1,True,False,False
15,1,0,,1,1,1,1,1,1,1,True,False,False
16,3,0,,1,1,1,1,1,1,1,True,False,False
8,2,0,,1,1,1,1,1,1,1,True,False,False
9,4,0,,1,1,1,1,1,1,1,False,False,False
21,1,0,,0,0,0,0,1,1,0,False,False,False
9,0,0,,1,1,1,1,1,1,1,True,False,False
1,5,1,,1,1,1,1,1,1,1,False,False,False
15,2,0,,1,1,1,1,1,1,1,False,False,False
18,5,1,,1,1,1,1,1,1,1,True,False,False
13,0,0,,1,1,1,1,1,1,1,True,False,False
19,4,0,,1,1,1,1,1,1,1,True,False,False
0,4,0,,1,1,1,1,1,1,1,True,False,False
2,3,0,,1,1,1,1,1,1,1,True,False,False
9,5,1,643.0,1,1,1,1,1,1,1,True,False,False
6,6,1,,1,1,1,1,1,1,1,True,False,False
17,2,0,1504.0,1,1,1,1,1,1,1,True,False,False
11,4,0,,1,1,1,1,1,1,1,True,False,False
14,6,1,,1,1,1,1,1,1,1,True,False,False
14,3,0,,1,1,1,1,1,1,1,True,False,False
8,4,0,,1,1,1,1,1,1,1,True,False,False
6,0,0,,0,1,1,0,1,1,1,True,True,False
9,3,0,,1,1,1,1,1,1,1,True,False,False
2,4,0,,1,1,1,1,1,1,1,False,False,False
15,6,1,,1,1,1,1,1,1,1,True,False,False
